MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,DEST,DEP_DELAY,DISTANCE,DEP_TIME_M,CRS_ARR_M,Temperature,Humidity,Wind,Wind Speed,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT
11,1,5,3,10,-1,636,323,448,48,58,15,25,29.86,4,9,17,14
11,1,5,3,28,-7,2475,333,531,48,58,15,25,29.86,4,9,17,15
11,1,5,3,20,40,1069,341,482,48,58,15,25,29.86,4,9,17,22
11,1,5,3,30,-2,944,343,513,48,58,15,25,29.86,4,9,17,12
11,1,5,4,1,-4,760,356,499,46,58,15,24,29.91,4,9,17,13
11,1,5,1,36,-1,740,358,460,46,58,15,24,29.91,4,9,17,21
11,1,5,1,28,-1,2475,359,553,46,58,15,24,29.91,4,9,17,26
11,1,5,3,7,-5,301,360,445,46,58,15,24,29.91,4,17,21,11
11,1,5,3,29,0,2465,365,553,46,58,15,24,29.91,4,17,21,25
11,1,5,3,20,3,1069,373,554,46,58,15,24,29.91,4,17,21,29
11,1,5,3,27,-5,2248,376,544,46,58,15,24,29.91,4,17,21,26
11,1,5,1,15,-5,213,379,479,46,58,15,24,29.91,4,17,21,30
11,1,5,1,42,-4,2153,386,546,46,58,15,24,29.91,4,17,21,24
11,1,5,3,56,-3,2586,407,618,46,58,15,24,29.91,4,17,21,17
11,1,5,3,58,108,1598,409,523,46,58,15,24,29.91,4,17,21,16
11,1,5,4,56,-6,2586,414,631,47,59,15,24,30.0,4,17,21,16
11,1,5,4,59,-5,1990,414,620,47,59,15,24,30.0,4,17,21,25
11,1,5,4,4,-5,187,415,502,47,59,15,24,30.0,4,17,21,15
11,1,5,1,56,-3,2586,417,626,47,59,15,24,30.0,4,17,21,18
11,1,5,3,54,-2,718,417,562,47,59,15,24,30.0,4,17,21,14
11,1,5,3,63,-3,209,417,493,47,59,15,24,30.0,4,17,21,21
11,1,5,3,1,0,760,418,572,47,59,15,24,30.0,4,17,21,16
11,1,5,4,32,-2,1029,418,547,47,59,15,24,30.0,4,17,21,34
11,1,5,3,28,-7,2475,418,624,47,59,15,24,30.0,4,17,21,15
11,1,5,4,28,-1,2475,419,605,47,59,15,24,30.0,4,17,21,23
11,1,5,4,55,-2,2422,423,618,47,59,15,24,30.0,4,30,26,24
11,1,5,1,31,4,1089,424,604,47,59,15,24,30.0,4,30,26,24
11,1,5,2,55,-6,2422,424,630,47,59,15,24,30.0,4,30,26,19
11,1,5,2,40,-3,2454,442,640,47,59,15,24,30.0,4,30,26,20
11,1,5,3,64,-2,1005,445,627,47,59,15,24,30.0,4,30,26,13
11,1,5,3,6,6,266,461,530,47,59,15,24,30.0,4,30,26,11
11,1,5,3,36,-4,740,463,570,47,59,15,24,30.0,4,30,26,13
11,1,5,1,28,-6,2475,474,676,50,52,15,21,30.0,4,30,26,20
11,1,5,1,36,-3,740,476,585,50,52,15,21,30.0,4,30,26,19
11,1,5,4,23,-3,1417,477,673,50,52,15,21,30.0,4,30,26,23
11,1,5,4,16,-2,1626,478,631,50,52,15,21,30.0,4,30,26,20
11,1,5,3,51,29,1074,478,642,50,52,15,21,30.0,4,30,26,10
11,1,5,3,28,-1,2475,479,676,50,52,15,21,30.0,4,30,26,12
11,1,5,6,37,-6,290,479,573,50,52,15,21,30.0,4,30,26,25
11,1,5,0,26,-5,828,480,641,50,52,15,21,30.0,4,46,19,24
11,1,5,3,30,0,944,480,656,50,52,15,21,30.0,4,46,19,10
11,1,5,4,31,-5,1089,480,666,50,52,15,21,30.0,4,46,19,36
11,1,5,4,33,-4,1182,481,614,50,52,15,21,30.0,4,46,19,11
11,1,5,1,12,-4,541,481,621,50,52,15,21,30.0,4,46,19,21
11,1,5,4,30,-3,944,482,655,50,52,15,21,30.0,4,46,19,15
11,1,5,0,3,-2,765,483,584,50,52,15,21,30.0,4,46,19,24
11,1,5,0,47,-2,427,483,596,50,52,15,21,30.0,4,46,19,12
11,1,5,4,56,-7,2586,483,710,50,52,15,21,30.0,4,46,19,28
11,1,5,3,20,4,1069,484,667,50,52,15,21,30.0,4,46,19,25
11,1,5,4,58,-1,1598,484,719,50,52,15,21,30.0,4,46,19,29
11,1,5,4,52,0,2446,485,664,50,52,15,21,30.0,4,46,19,25
11,1,5,4,57,-6,2569,489,703,50,52,15,21,30.0,4,46,19,26
11,1,5,4,64,7,1005,492,658,50,52,15,21,30.0,4,46,19,21
11,1,5,3,47,6,427,494,592,50,52,15,21,30.0,4,46,19,21
11,1,5,3,50,71,264,494,507,50,52,15,21,30.0,4,46,19,27
11,1,5,3,59,-7,1990,498,706,50,52,15,21,30.0,4,46,19,26
11,1,5,1,31,8,1089,498,684,50,52,15,21,30.0,4,46,19,25
11,1,5,4,20,14,1069,499,659,50,52,15,21,30.0,4,46,19,26
11,1,5,1,17,0,1391,509,688,50,52,15,21,30.0,4,46,19,16
11,1,5,3,52,1,2446,511,706,50,52,15,21,30.0,4,46,19,22
11,1,5,3,28,-4,2475,511,714,50,52,15,21,30.0,4,46,19,25
11,1,5,4,1,2,760,512,656,50,52,15,21,30.0,4,46,19,16
11,1,5,4,28,-3,2475,512,705,50,52,15,21,30.0,4,46,19,16
11,1,5,3,4,88,187,515,500,50,52,15,21,30.0,4,46,19,22
11,1,5,3,7,37,301,517,564,50,52,15,21,30.0,4,46,19,15
11,1,5,3,55,-7,2422,518,727,50,52,15,21,30.0,4,46,19,15
11,1,5,4,10,-2,636,521,664,50,52,15,21,30.0,4,46,19,17
11,1,5,3,33,123,1182,523,544,50,52,15,21,30.0,4,46,19,13
11,1,5,0,22,-5,228,535,624,52,47,16,25,30.02,4,46,19,18
11,1,5,0,7,51,301,536,580,52,47,16,25,30.02,4,46,19,22
